Name,Translation
aaditya,आदित्या
aarifa,आरिफा
abhishak,अभिषेक
abishek,अबिषिक
ajab,अज
ajaj,अज
ajim,अजीम
ajmer,अजर
akansh,आकांश
akbar,अक्र
akram,अक्म
akshita,अक्षिता
altab,अलबता
ameen,अमीन
amjad,अमजाद
amreek,अमीक
amreeta,अमृता
anamika,आमिका
aniket,अनिकेश
animesh,अनिश
anishkaa,अनिष्का
ankala,कल
annish,अंसीश
anshika,अंशिका
anshum,अंशु
araddhna,अर्शन
aradhya,अर्याद
areen,अीन
arif,आरिफ
arnub,अरुब
arvinda,अरविंद
arzoo,अरधा
asharam,आशरम
ashiqu,आशिक
ashlam,आशमा
ashman,आशर
ashsish,आशंष
asruddin,आसद्दीन
avantika,वंदिल
avneet,अवनित
babali,बाजू
baban,बान
babupuri,बाबुरी
bachcha,बच्छू
balbiri,बली
banju,बंती
barham,बारम
beeti,बेटी
bhagay,भीय
bhatia,भातिया
bhola,भोला
bhoomi,भूप
bhoop,भूप
binpal,बिपाल
bipin,बिपी
bipnesh,बित्स
bir,बीर
biraj,बीरा
birmati,बिमती
bishan,बिश
bivla,बिला
bodu,बोद
boduram,बोरम
brajendra,ब्रजेंद्र
bram,ब
bupal,बुपाल
chaman,चमन
chandesh,चेश
chando,चंदू
chandru,चंद्र
chaubey,चॉबी
chertamani,चेतनता
chhamo,छोह
chiranjavi,चिराग
chunni,चोनी
danveer,डावीर
deba,देबा
deendyal,दीनल
deep,दीप
deepender,दीपेन्द्र
deni,नीनी
deva,देवा
deveshwari,देवेशी
devi,देवी
devraj,देव
dhaney,धन
dharambir,धर्मबीर
dharmveer,धर्मवीर
dhirender,धीरून
dilip,दिलि
dimpu,डीपी
dipeeka,दितिका
disi,दिसी
divakar,दिवकर
dular,दुर
dulari,दुलारी
dund,दो
durgashankar,दुर्गाद
etahsaam,एसम
faraha,जहार
farha,फ़रहा
fulo,फॉर
gaffur,गौफिर
ganguly,गणमी
gappu,पूप्पू
geetu,गीत
ghan,घन
gobind,गोरी
gonsan,गोसान
gulabsha,गुलाबशा
gulbasha,गुलशा
gulfan,गुलफ़ान
guluram,गुलाराम
gungun,गुंजन
gupta,गुप्ता
gurmel,गुरल
gurubaksh,गुरुक्षा
gurucharan,गुरुचरण
gyanu,ज्ञानू
hanni,हानी
hanumanram,हनुम
hardam,हरम
harleen,लीन
harmani,हरी
hasmita,हस्ता
hem,हेम
himansi,हिमान
ibrahim,इब्राहीम
ijhar,जसही
ikrar,इंद्र
ilema,इंद
irsad,इरद
ishtkar,ईशत
israr,इराखर
jagriti,जगरीति
jaiprakash,जयप्रकाश
jamrujaha,जजरु
jani,जनी
janid,जनद
jasvant,जसलम
jasveer,जस
jasvir,जसदेव
javal,जल
jayalalithaa,जयजयला
jeeya,जीया
jhansi,झांसी
jitin,ंजीन
jomiya,जोम्या
joya,जोया
jubed,जुबेद
juna,जुना
junl,जुल
jya,जीया
kalip,कली
kamal,कमल
kamil,कमल
kamini,कमल
kamrudeen,कामरुद्दीन
kapish,काशी
karunakar,करनाब
kasturi,कस्तूरी
khalidur,खिदुर
kheem,ख
khetra,खेत्रा
khusbu,खुशबूपूर्वब्सुखर्जसुख
khushabu,खुश
khushnudi,खुशबू
khushnuma,खुमा
kishore,किशोर
kokila,कोकिला
koushik,कोौशिक
krishka,कृष्का
kuldeel,कुलसुष
kumkum,कुमरे
kunden,कुहीन
kusham,कुश
labbhi,लाकी
laka,ला
lakhamichand,लख्चंद
laskshita,लक्षिया
lavkush,लवुष
lilaram,लीला
lukman,लुक्
madharam,मरम
madhava,मव
madhuni,मणि
mahadevi,महेवी
mahasingh,महूसिंह
mahesh,महेश
mahipal,महीपाल
maisan,मैन
mallika,लिमला
malti,मलि
mamata,मामता
manan,मन
mandan,मनंद
manish,मनीष
manit,मनी
manku,मंकू
manmath,मथ
mansha,मशा
manuja,मनुजा
marjina,मार्जिना
masoom,मसू
mayank,मयक
mayushi,मयुषी
megraaj,जमराज
mesak,मेक
methun,मेघत
mhosin,एमजीह
midhana,मिना
mithu,मित्नू
mohanram,मोहनम
moolchul,मूलोमा
mukkesh,मुकेश
mula,मुला
muntiyaj,मुन्जका
muslim,मुस्ती
najmin,नजमें
najre,नजर
najreen,नजरीन
nanda,नंद
nanka,नंक
narain,नरिन
narbahadur,नरसानूर
naresh,नरेश
nargesh,नरेश
naseema,नसीमा
nathuram,नाथू
nausad,नौशाद
naveeja,नवीन
navin,नैन
naviya,नव्या
nayaka,नयका
neeru,नी
neil,नेश
nicharon,नितेन
nikky,निक्की
niladri,नीलाद्री
nimahe,निथे
nirosha,निरोशा
nisat,निश
nittin,तिनति
noorjhan,नूरजहा
nshima,ंशिमा
nuraish,नुरश
oli,ओली
omesh,ओमेश
omkar,ओंकार
panku,पंकू
pannu,पन्नू
papiya,पप्या
papu,पी
pardeep,परदीप
pargati,परगति
parniti,परोनी
parul,परुल
phirdos,पूर्हित
pintu,पिंटू
pooga,पूग
popatlal,पोत्री
pphola,पप्ला
prabhat,प्रभात
prabhila,प्रवीला
prachi,प्री
pramjot,प्रमती
pramod,प्रदीप
prayatan,प्र्यान
prem,प्रेम
premchand,प्रेमना
premo,प्रेमा
prempal,प्रेमपाल
preyojit,प्रेमजीत
pritee,प्रीती
pritika,प्रीतिका
priyanshu,प्रियां
puneeta,पुनीता
punkaj,पुंकज
pushkar,पुष्कर
puspa&,पुष्पा
qadeem,क़ाधम
radheyshyam,राध्यश्याम
raeeyan,रायण
rafal,रफल
ragini,रागीनी
raja,राज
rajkarnta,राजकार
rajput,राजपुत
raksha,राक्षा
rambarose,रामब्र
rambir,राम
ramli,रामली
ramulu,राम
rangeeta,रणगा
ranjita,रणजीता
rashma,रमा
ratn,रतन
revakshi,रेवशी
rihana,रिहाना
rini,रिी
rinka,रिंकका
rony,रोी
roshanlal,रोशन
ruji,रूख
rukmani,रुक्कमणि
saalu,सानू
saaniya,संदिया
saddam,सद
safiq,सफी
sahaja,सहज
sahajad,साहजाद
saheb,साहि
sahenaj,साहाज
sahun,साहू
sajni,सजनी
salauddin,सलामुद्दीन
saleem,सली
sally,सलीन
saloni,सोनी
samarth,समथ
samim,सम
samir,समि
samiron,समिन
santna,संत
sapana,सपना
sashi,साशी
sashikala,साशिक
satrughan,सत्यसिंह
satvik,सतवीक
satyvrat,सत्यव
sauni,सानी
shabanm,शब्नम
shadna,शाना
shahir,शाहिर
shahnaj,शाहना
shahruf,शाहिफ
shakti,शक्कू
shakutal,शकुल
shamsher,शतुर
shan,शान
shanshak,शांत
shelly,शेल्ली
shi,शि
shimpi,शिमती
shivkumari,शिवनी
shobhit,शोभात
shreemati,श्रीमती
shsi,श्या
shyama,श्याम
shyamvati,श्यामती
shymo,श्य
siddharth,सिधार्थ
simpi,सिम्प
sirajuddin,सिद्दीन
sivani,सियली
siya,सिया
smriti,स्रीम
soban,सोन
somprakash,सोदश
sony,सोय
sourav,सौरव
spna,सपना
stephen,सपन
sufiya,सुफिया
sugandha,सुधा
sukhavinder,सुलेंदर
sukhpreeet,सुखत
sunny,सुन्नी
tabbasum,तब्ब्ब्सुब्रजीत
tajinder,तंजी
talwar,लखर
tamana,ता
tamanna,तना
tanish,तनि
tanuj,तनु
tanushri,तनुश्री
taramati,ताराम
tarnnum,तार्नुम
teena,तीना
tikku,तिक
tilak,तिक
tina,तिना
tinku,तिंकू
tofik,तोफी
upender,उपेंद्र
vahab,वै
vajid,वजीद
vandhna,वंद
varda,वरदा
vasa,व
vashanavi,वैशा
verendra,वेरेंद्र
veshali,वेशाली
vijay,विजय
viney,विनी
vipta,विप्ता
vrendra,वरेंद्र
waghal,वाल
yasin,यसीन
yesh,येश
